학년도,학교급별,학년,성별,키
2016,초,6,여,152.5
2016,초,6,여,153.3
2016,초,1,남,126.3
2016,초,1,남,130.2
2016,초,1,남,116.5
2016,초,1,남,122
2016,초,1,남,128.9
2016,초,1,남,120.3
2016,초,1,남,114.7
2016,초,1,남,121
2016,초,1,남,124.4
2016,초,1,남,120.2
2016,초,1,남,118.1
2016,초,1,남,128.4
2016,초,1,남,132.7
2016,초,1,여,120.5
2016,초,1,여,117
2016,초,1,여,121.6
2016,초,1,여,127.1
2016,초,1,여,123
2016,초,1,여,122
2016,초,1,여,115.5
2016,초,1,여,115.1
2016,초,1,여,124.2
2016,초,1,여,114.7
2016,초,1,여,121.5
2016,초,1,여,125
2016,초,2,남,123.5
2016,초,2,남,120.4
2016,초,2,남,139.8
2016,초,2,남,123.1
2016,초,2,남,132.2
2016,초,2,남,138.1
2016,초,2,남,128.5
2016,초,2,남,121.4
2016,초,2,남,130.4
2016,초,2,남,123.7
2016,초,2,남,130.6
2016,초,2,남,130.2
2016,초,2,남,130.3
2016,초,2,남,132.8
2016,초,2,여,124
2016,초,2,여,128.5
2016,초,2,여,138.5
2016,초,2,여,134.7
2016,초,2,여,116.9
2016,초,2,여,130.8
2016,초,2,여,128.3
2016,초,2,여,132.7
2016,초,2,여,123
2016,초,2,여,129.2
2016,초,2,여,136
2016,초,2,여,120.3
2016,초,3,남,135.5
2016,초,3,남,136.4
2016,초,3,남,133.2
2016,초,3,남,124.9
2016,초,3,남,135.6
2016,초,3,남,136.3
2016,초,3,남,131.9
2016,초,3,남,136.1
2016,초,3,남,140.9
2016,초,3,남,130.3
2016,초,3,남,132.1
2016,초,3,여,130.6
2016,초,3,여,135.8
2016,초,3,여,133.7
2016,초,3,여,143.8
2016,초,3,여,132.2
2016,초,3,여,133.2
2016,초,3,여,138.7
2016,초,3,여,124.9
2016,초,3,여,145.7
2016,초,3,여,132.7
2016,초,3,여,139.5
2016,초,3,여,123.8
2016,초,3,여,133.2
2016,초,4,남,147.3
2016,초,4,남,139.6
2016,초,4,남,144.5
2016,초,4,남,140.2
2016,초,4,남,145.5
2016,초,4,남,133.5
2016,초,4,남,137.9
2016,초,4,남,141.7
2016,초,4,남,142.4
2016,초,4,남,146.6
2016,초,4,남,131.7
2016,초,4,남,134.7
2016,초,4,남,143.7
2016,초,4,남,136.8
2016,초,4,남,139.6
2016,초,4,여,135.8
2016,초,4,여,131.9
2016,초,4,여,141.5
2016,초,4,여,131.9
2016,초,4,여,141.1
2016,초,4,여,145.7
2016,초,4,여,137.6
2016,초,4,여,140.8
2016,초,4,여,142.2
2016,초,4,여,135
2016,초,4,여,136
2016,초,5,남,146
2016,초,5,남,140
2016,초,5,남,141.7
2016,초,5,남,146
2016,초,5,남,139.1
2016,초,5,남,148.8
2016,초,5,남,148.1
2016,초,5,남,157.3
2016,초,5,남,147
2016,초,5,남,146.4
2016,초,5,남,153
2016,초,5,남,140.9
2016,초,5,남,141.4
2016,초,5,여,154
2016,초,5,여,143.8
2016,초,5,여,143.4
2016,초,5,여,138.2
2016,초,5,여,145.1
2016,초,5,여,137.3
2016,초,5,여,145.3
2016,초,5,여,148.2
2016,초,5,여,138.7
2016,초,5,여,128.1
2016,초,6,남,161.5
2016,초,6,남,149
